filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
%5B15548597%20-%20Peace%20Economics%2C%20Peace%20Science%20and%20Public%20Policy%5D%20Who%20are%20Our%20Experts%20Predictors%20of%20Participation%20in%20Expert%20Surveys.pdf,{'value': '10.1515/peps-2020-0007'},"{'value': 'Steinert, Christoph Valentin, and Andrea Ruggeri. ""Who are Our Experts? Predictors of Participation in Expert Surveys."" Peace Econ. Peace Sci. Pub. Pol. 2020; 20200007. doi: 10.1515/peps-2020-0007.'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},{'value': 'Qualtrics'},{'value': 'C. V. Steinert and A. Ruggeri'},{'value': 'not applicable'},{'value': ''},{'value': ''},{'value': ''}
%5B19552629%20-%20Journal%20of%20Language%20Contact%5D%20Contact-Induced%20Changes%20in%20the%20Argument%20Structure%20of%20Middle%20English%20Verbs%20on%20the%20Model%20of%20Old%20French.pdf,{'value': '10.1163/19552629-01201008'},"{'value': 'Trips, Carola and Achim Stein. ""Contact-Induced Changes in the Argument Structure of Middle English Verbs on the Model of Old French."" Journal of Language Contact 12 (2019): 232-267. doi:10.1163/19552629-01201008'}",{'value': 'secondary'},{'value': 'Automated data extraction'},{'value': 'ppcme2'},{'value': 'not applicable'},{'value': 'ppcme2'},{'value': ''},{'value': ''},{'value': ''}
00027642211021646.pdf,{'value': '10.1177/00027642211021646'},"{'value': 'van Deth, Jan W. 2022. ""Similar But Different: Constructing Equivalent Protest Measures in Comparative Research."" American Behavioral Scientist 66 (4): 489–509. doi: 10.1177/00027642211021646.'}",{'value': 'secondary'},{'value': 'Self-administered questionnaire'},{'value': 'questionnaire'},{'value': 'not applicable'},{'value': 'World Values Survey (WVS)'},{'value': ''},"{'value': 'Study description, questionnaire and data can be downloaded from: http://www.worldvaluesurvey. org/WVSDocumentationWV6.jsp.'}",{'value': ''}
000527503.pdf,{'value': '10.1159/000527503'},"{'value': 'Amaefule, Chimezie O., Stefan Lüdtke, Anne Klostermann, Charlotte A. Hinz, Isabell Kampa, Thomas Kirste, and Stefan Teipel. ""At Crossroads in a Virtual City: Effect of Spatial Disorientation on Gait Variability and Psychophysiological Response among Healthy Older Adults."" Gerontology 69, no. 4 (2023): 450–463. doi:10.1159/000527503.'}",{'value': 'primary'},{'value': 'Experiment'},"{'value': 'Movisens GmbH wearable sensors, GoPro Hero 7 action camera, self-paced treadmill, VR environment'}","{'value': 'Chimezie O. Amaefule, Stefan Lüdtke, Anne Klostermann, Charlotte A. Hinz, and Isabell Kampa'}",{'value': 'not applicable'},{'value': ''},{'value': 'Data Availability Statement\nAll data generated or analyzed during this study are not included in this article due to ethical reasons. Further inquiries can be directed to the corresponding author.'},{'value': ''}
000549546.pdf,{'value': '10.1159/000549546'},"{'value': 'Taubitza, Friedrich-Samuel, Linus H.A. Sehna, and Georg W. Alpers. ""Language Model, bitte zum Diktat: Transkription, Sprecher*innenzuordnung und datenschutzkonforme Verarbeitung von Therapiegesprächen mit KI."" Verhaltenstherapie, 2025. doi: 10.1159/000549546.'}",{'value': 'primary'},{'value': 'Simulation'},{'value': 'simulated first interviews'},"{'value': 'Friedrich-Samuel Taubitz, Linus H.A. Sehn, Georg W. Alpers'}",{'value': 'not applicable'},{'value': ''},"{'value': 'Analyseskripte und Methoden sind auf GitHub frei zugänglich [Petit und Sehn, 2025; Sehn, 2025]; die zugrunde liegenden Daten werden aus Datenschutzgründen nicht öffentlich bereitgestellt, können aber bei berechtigtem wissenschaftlichem Interesse auf Anfrage an den korrespondierenden Autor eingesehen werden.'}","{'value': 'Analyseskripte und Methoden sind auf GitHub frei zugänglich [Petit und Sehn, 2025; Sehn, 2025]'}"
000550820.pdf,{'value': '10.1159/000550820'},"{'value': 'Kalde, Jan, Ece Atik, Johannes Stricker, Magnus Schücke, Peter Neudeck, Pamela Abele, Johanna Hollank, Andre Pittig, and Reinhard Pietrowski. ""Blended Cognitive Behavioral Therapy versus Standard Cognitive Behavioral Therapy for Unipolar Depression: A Multicenter Randomized Controlled Trial."" Psychotherapy and Psychosomatics Innovations, 2026. doi: 10.1159/000550820.'}",{'value': 'primary'},{'value': 'Experiment'},{'value': 'EDC system'},{'value': 'authors'},{'value': 'not applicable'},{'value': ''},"{'value': 'The data supporting the results of this study are not publicly available as they contain information that could compromise patient privacy, but are available from the corresponding author on reasonable request.'}",{'value': ''}
0012-1924_a000271.pdf,{'value': '10.1026/0012-1924/a000271'},"{'value': 'Waag, Anne-Sophie, Benedict C. O. Fehringer, and Stefan Münzer. ""Entwicklung und Validierung der „Mannheimer Skalen zur Erfassung von Handlungswissen, Reflexion und Berufsbezug (HAREBE)“ für situierte Lehrveranstaltungen an Hochschulen."" Diagnostica 67, no. 3 (2021): 137–148. doi:10.1026/0012-1924/a000271'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},{'value': 'HAREBE Skalen'},"{'value': 'A.-S. Waag, B. C. O. Fehringer und S. Münzer'}",{'value': 'not applicable'},{'value': ''},{'value': ''},{'value': ''}
0020715219899969.pdf,{'value': '10.1177/0020715219899969'},"{'value': 'Shore, Jennifer, Carolin Rapp, and Daniel Stockemer. ""Health and political efficacy in context: What is the role of the welfare state?"" International Journal of Comparative Sociology 60, no. 6 (2020): 435-457. doi:10.1177/0020715219899969'}",{'value': 'secondary'},{'value': 'Self-administered questionnaire'},{'value': 'European Social Survey'},{'value': 'not applicable'},{'value': 'European Social Survey (ESS)'},{'value': ''},{'value': ''},{'value': ''}
00220027221104719.pdf,{'value': '10.1177/00220027221104719'},"{'value': 'Carey, Sabine C., Belén González, and Christian Gläßel. ""Divergent Perceptions of Peace in Post-Conflict Societies: Insights from Sri Lanka."" Journal of Conflict Resolution 66, no. 9 (2022): 1589-1618. doi:10.1177/00220027221104719'}",{'value': 'primary'},{'value': 'Interview'},{'value': 'structured face-to-face interviews'},{'value': 'Vanguard Survey'},{'value': 'not applicable'},{'value': ''},{'value': 'Replication ﬁles are available at https://dataverse.harvard.edu/dataverse/sabinecarey'},{'value': 'https://dataverse.harvard.edu/dataverse/sabinecarey'}
0022242920916733.pdf,{'value': '10.1177/0022242920916733'},"{'value': 'Vomberg, Arnd, Christian Homburg, and Olivia Gwinner. ""Tolerating and Managing Failure: An Organizational Perspective on Customer Reacquisition Management."" Journal of Marketing 84, no. 5 (2020): 117-136. doi:10.1177/0022242920916733'}",{'value': 'mixed'},{'value': 'Self-administered questionnaire'},{'value': 'online survey'},{'value': 'authors'},{'value': 'objective database'},{'value': ''},{'value': 'Online supplement: https://doi.org/10.1177/0022242920916733'},{'value': ''}
