filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
%5B15548597%20-%20Peace%20Economics%2C%20Peace%20Science%20and%20Public%20Policy%5D%20Who%20are%20Our%20Experts%20Predictors%20of%20Participation%20in%20Expert%20Surveys.pdf,10.1515/peps-2020-0007,"Steinert, Christoph Valentin, and Andrea Ruggeri. ""Who are Our Experts? Predictors of Participation in Expert Surveys."" Peace Econ. Peace Sci. Pub. Pol. 2020; 20200007. doi: 10.1515/peps-2020-0007.",primary,Self-administered questionnaire,Qualtrics,C. V. Steinert and A. Ruggeri,not applicable,,,
%5B19552629%20-%20Journal%20of%20Language%20Contact%5D%20Contact-Induced%20Changes%20in%20the%20Argument%20Structure%20of%20Middle%20English%20Verbs%20on%20the%20Model%20of%20Old%20French.pdf,10.1163/19552629-01201008,"Trips, Carola and Achim Stein. ""Contact-Induced Changes in the Argument Structure of Middle English Verbs on the Model of Old French."" Journal of Language Contact 12 (2019): 232-267. doi:10.1163/19552629-01201008",secondary,Automated data extraction,ppcme2,not applicable,ppcme2,,,
00027642211021646.pdf,10.1177/00027642211021646,"van Deth, Jan W. 2022. ""Similar But Different: Constructing Equivalent Protest Measures in Comparative Research."" American Behavioral Scientist 66 (4): 489–509. doi: 10.1177/00027642211021646.",secondary,Self-administered questionnaire,questionnaire,not applicable,World Values Survey (WVS),,"Study description, questionnaire and data can be downloaded from: http://www.worldvaluesurvey. org/WVSDocumentationWV6.jsp.",
000527503.pdf,10.1159/000527503,"Amaefule, Chimezie O., Stefan Lüdtke, Anne Klostermann, Charlotte A. Hinz, Isabell Kampa, Thomas Kirste, and Stefan Teipel. ""At Crossroads in a Virtual City: Effect of Spatial Disorientation on Gait Variability and Psychophysiological Response among Healthy Older Adults."" Gerontology 69, no. 4 (2023): 450–463. doi:10.1159/000527503.",primary,Experiment,"Movisens GmbH wearable sensors, GoPro Hero 7 action camera, self-paced treadmill, VR environment","Chimezie O. Amaefule, Stefan Lüdtke, Anne Klostermann, Charlotte A. Hinz, and Isabell Kampa",not applicable,,"Data Availability Statement
All data generated or analyzed during this study are not included in this article due to ethical reasons. Further inquiries can be directed to the corresponding author.",
000549546.pdf,10.1159/000549546,"Taubitza, Friedrich-Samuel, Linus H.A. Sehna, and Georg W. Alpers. ""Language Model, bitte zum Diktat: Transkription, Sprecher*innenzuordnung und datenschutzkonforme Verarbeitung von Therapiegesprächen mit KI."" Verhaltenstherapie, 2025. doi: 10.1159/000549546.",primary,Simulation,simulated first interviews,"Friedrich-Samuel Taubitz, Linus H.A. Sehn, Georg W. Alpers",not applicable,,"Analyseskripte und Methoden sind auf GitHub frei zugänglich [Petit und Sehn, 2025; Sehn, 2025]; die zugrunde liegenden Daten werden aus Datenschutzgründen nicht öffentlich bereitgestellt, können aber bei berechtigtem wissenschaftlichem Interesse auf Anfrage an den korrespondierenden Autor eingesehen werden.","Analyseskripte und Methoden sind auf GitHub frei zugänglich [Petit und Sehn, 2025; Sehn, 2025]"
000550820.pdf,10.1159/000550820,"Kalde, Jan, Ece Atik, Johannes Stricker, Magnus Schücke, Peter Neudeck, Pamela Abele, Johanna Hollank, Andre Pittig, and Reinhard Pietrowski. ""Blended Cognitive Behavioral Therapy versus Standard Cognitive Behavioral Therapy for Unipolar Depression: A Multicenter Randomized Controlled Trial."" Psychotherapy and Psychosomatics Innovations, 2026. doi: 10.1159/000550820.",primary,Experiment,EDC system,authors,not applicable,,"The data supporting the results of this study are not publicly available as they contain information that could compromise patient privacy, but are available from the corresponding author on reasonable request.",
0012-1924_a000271.pdf,10.1026/0012-1924/a000271,"Waag, Anne-Sophie, Benedict C. O. Fehringer, and Stefan Münzer. ""Entwicklung und Validierung der „Mannheimer Skalen zur Erfassung von Handlungswissen, Reflexion und Berufsbezug (HAREBE)“ für situierte Lehrveranstaltungen an Hochschulen."" Diagnostica 67, no. 3 (2021): 137–148. doi:10.1026/0012-1924/a000271",primary,Self-administered questionnaire,HAREBE Skalen,"A.-S. Waag, B. C. O. Fehringer und S. Münzer",not applicable,,,
0020715219899969.pdf,10.1177/0020715219899969,"Shore, Jennifer, Carolin Rapp, and Daniel Stockemer. ""Health and political efficacy in context: What is the role of the welfare state?"" International Journal of Comparative Sociology 60, no. 6 (2020): 435-457. doi:10.1177/0020715219899969",secondary,Self-administered questionnaire,European Social Survey,not applicable,European Social Survey (ESS),,,
00220027221104719.pdf,10.1177/00220027221104719,"Carey, Sabine C., Belén González, and Christian Gläßel. ""Divergent Perceptions of Peace in Post-Conflict Societies: Insights from Sri Lanka."" Journal of Conflict Resolution 66, no. 9 (2022): 1589-1618. doi:10.1177/00220027221104719",primary,Interview,structured face-to-face interviews,Vanguard Survey,not applicable,,Replication ﬁles are available at https://dataverse.harvard.edu/dataverse/sabinecarey,https://dataverse.harvard.edu/dataverse/sabinecarey
0022242920916733.pdf,10.1177/0022242920916733,"Vomberg, Arnd, Christian Homburg, and Olivia Gwinner. ""Tolerating and Managing Failure: An Organizational Perspective on Customer Reacquisition Management."" Journal of Marketing 84, no. 5 (2020): 117-136. doi:10.1177/0022242920916733",mixed,Self-administered questionnaire,online survey,authors,objective database,,Online supplement: https://doi.org/10.1177/0022242920916733,
00222429211014902.pdf,10.1177/00222429211014902,"Harz, Nathalie, Sebastian Hohenberg, and Christian Homburg. ""Virtual Reality in New Product Development: Insights from Prelaunch Sales Forecasting for Durables."" Journal of Marketing 86, no. 3 (2022): 157-179. doi:10.1177/00222429211014902",primary,Simulation,virtual reality,GfK,not applicable,,Online supplement: https://doi.org/10.1177/00222429211014902,
00222429211026655.pdf,10.1177/00222429211026655,"Bamberger, Boas, Christian Homburg, and Dominik M. Wielgos. ""Wage Inequality: Its Impact on Customer Satisfaction and Firm Performance."" Journal of Marketing 85, no. 6 (2021): 24–43. doi:10.1177/00222429211026655",mixed,Self-administered questionnaire,online survey,authors,"ACSI, Compustat Fundamentals Annual database, and Execucomp database",,,
0022243720929676.pdf,10.1177/0022243720929676,"Homburg, Christian, Arnd Vomberg, and Stephan Muehlhaeuser. ""Design and Governance of Multichannel Sales Systems: Financial Performance Consequences in Business-to-Business Markets."" Journal of Marketing Research 2020, 1-22. doi: 10.1177/0022243720929676.",mixed,Self-administered questionnaire,mail questionnaire and online questionnaire,article authors,AMADEUS database,,Online supplement: https://doi.org/10.1177/0022243720929676,
0022343318800524.pdf,10.1177/0022343318800524,"Steinert, Christoph V, Janina I Steinert, and Sabine C Carey. ""Spoilers of peace: Pro-government militias as risk factors for conflict recurrence."" Journal of Peace Research 56, no. 2 (2019): 249–263. doi:10.1177/0022343318800524",mixed,Content coding,coding procedure proposed by Kalyvas & Balcells (2010),authors,"UCDP Armed Conflict Dataset, Pro-Government Militia Database",,"The dataset and do-files for the empirical analysis in this article, along with the Online appendix, can be found at http://www.prio.org/jpr/datasets.",http://www.prio.org/jpr/datasets
0022343319897105.pdf,10.1177/0022343319897105,"Helbling, Marc and Daniel Meierrieks. ""Transnational terrorism and restrictive immigration policies."" Journal of Peace Research 57, no. 4 (2020): 564–580. doi:10.1177/0022343319897105",secondary,Aggregation,not applicable,not applicable,"Immigration Policies in Comparison (IMPIC) dataset, V-DEM Dataset, PWT, International Terrorism: Attributes of Terrorist Events (ITERATE) dataset, Global Terrorism Database (GTD), DPI",,"The dataset and do-file for the empirical analysis in this article, as well as the Online appendix, can be found at http://www.prio.org/jpr/datasets.",http://www.prio.org/jpr/datasets
0038-6073-2020-1-2-3.pdf,10.5771/0038-6073-2020-1-2-3,"Kogan, Irena, and Frank Kalter. 2020. ""An empirical–analytical approach to the study of recent refugee migrants in Germany."" SozW, 71 (1-2): 3–23. doi: 10.5771/0038-6073-2020-1-2-3.",secondary,not applicable,not applicable,not applicable,IAB-BAMF-SOEP Refugee Survey and ReGES,,,
0038-6073-2021-4-415.pdf,10.5771/0038-6073-2021-4-415,"Friedrich, Teresa Sophie, Marie-Christine Laible, Reinhard Pollak, Sebastian Schongen, Benjamin Schulz, and Basha Vicari. ""Grasping Digitalization in the Working World: An Example From the German National Educational Panel Study"". SozW, 72, no. 4 (2021): 415-452. doi:10.5771/0038-6073-2021-4-415.",secondary,Self-administered questionnaire,survey module,not applicable,German National Educational Panel Study (NEPS),10.7802/2362,The codes used in the present study are available for replications (https://doi.org/10.7802/2362).,https://doi.org/10.7802/2362
0038-6073-2025-1-2-105.pdf,10.5771/0038-6073-2025-1-2-105,"Heyne, Stefanie, Jana Kuhlemann, and Irena Kogan. ""Cultural distance through the lens of social closeness and individual experiences with diversity: Unveiling attitudes toward recent immigrants in Germany using a factorial survey experiment."" SozW, 76 (1-2) (2025): 105-131. doi: 10.5771/0038-6073-2025-1-2-105.",secondary,Experiment,factorial survey experiment,not applicable,German Internet Panel (GIP),10.4232/1.14367,This paper uses data from the wave 63 of the German Internet Panel GIP (https://doi.org/10.4232/1.14367); The data are available via the GESIS Data Archive. The code used in the present study is available for replication: https://osf.io/z84d5/.,https://osf.io/z84d5/
0042098019897890.pdf,10.1177/0042098019897890,"Kretschmer, David and Hanno Kruse. ""Neighbourhood effects on acculturation attitudes among minority and majority adolescents in Germany."" Urban Studies, 2020, pp. 1-18. doi: 10.1177/0042098019897890",secondary,Interview,questionnaire,not applicable,CILS4EU,,,
0049-8637_a000221.pdf,10.1026/0049-8637/a000221,"Marksteiner, Tamara, Marc Philipp Janson, and Hanna Beißert. ""Belonging as Compensator: Social Belonging Moderates the Relation Between Bullying and Well-Being Worldwide."" Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie 52, no. 3-4 (2020): 116–126. https://doi.org/10.1026/0049-8637/a000221",secondary,Self-administered questionnaire,PISA 2015 dataset,not applicable,PISA 2015 dataset,,,
0049124117747304.pdf,10.1177/0049124117747304,"Stark, Tobias H., Henning Silber, Jon A. Krosnick, Annelies G. Blom, Midori Aoyagi, Ana Belchior, Michael Bosnjak, Sanne Lund Clement, Melvin John, Guðbjörg Andrea Jónsdóttir, Karen Lawson, Peter Lynn, Johan Martinsson, Ditte Shamshiri-Petersen, Endre Tvinnereim, and Ruoh-rong Yu. ""Generalization of Classic Question Order Effects Across Cultures."" Sociological Methods & Research 49, no. 3 (2020): 567-602. doi:10.1177/0049124117747304",primary,Experiment,questionnaire,"Gallup, TESS, GESIS Panel, German Internet Panel, NatCen Social Research, Kantar Public, Laboratory of Opinion Research at the University of Gothenburg, Uni Research, Academia Sinica",not applicable,,,
0049124119882473.pdf,10.1177/0049124119882473,"Leszczensky, Lars and Tobias Wolbring. 2022. ""How to Deal With Reverse Causality Using Panel Data? Recommendations for Researchers Based on a Simulation Study."" Sociological Methods & Research 51(2): 837–865. doi: 10.1177/0049124119882473",primary,Simulation,not applicable,Lars Leszczensky and Tobias Wolbring,not applicable,,Our Stata code is publicly and permanently available at the Harvard Dataverse (Leszczensky and Wolbring 2019).,Our Stata code is publicly and permanently available at the Harvard Dataverse (Leszczensky and Wolbring 2019).
0049124119882480.pdf,10.1177/0049124119882480,"Felderer, Barbara and Annelies G. Blom. ""Acceptance of the Automated Online Collection of Geographical Information."" Sociological Methods & Research 51, no. 2 (2022): 866–886. doi:10.1177/0049124119882480",secondary,Self-administered questionnaire,GIP online panel,not applicable,GIP,"10.4232/1.12107, 10.4232/1.12610","This article uses data from GIP wave 1 (doi:10.4232/1.12107) and wave 4 (doi:10.4232/1.12610). The GIP data are published as Scientific Use Files in the GESIS Data Archive for the Social Sciences (GESIS-DAS). They can be retrieved from (https://dbk.gesis.org/dbksearch/GDesc2.asp?no¤0109&tab=¤&ll=¤10&notabs=¤1&db=¤E). However, this article researches informed consent regarding personal and sensitive data, in particular IP addresses and manually provided geographical information. For anonymity and data protection reasons, the personal and sensitive data cannot be stored at the GESIS-DAS. Instead, they can be accessed at the secure Onsite Data Access facilities of the Collaborative Research Center “Political Economy of Reforms” of the University of Mannheim, Germany.",
0093650220939778.pdf,10.1177/0093650220939778,"Wolfers, Lara N., and Frank M. Schneider. ""Using Media for Coping: A Scoping Review."" Communication Research 2020, 1-25. doi:10.1177/0093650220939778",primary,Content coding,coding scheme,Four trained coders,not applicable,,"Supplemental material for this article is available online (Online Appendices A, B, and C) and through OSF (https://osf.io/s3b5z/).",
0093650220944790.pdf,10.1177/0093650220944790,"Chan, Chung-hong and Grill, Christiane. ""The Highs in Communication Research: Research Topics With High Supply, High Popularity, and High Prestige in High-Impact Journals."" Communication Research 49, no. 5 (2022): 599-626. doi:10.1177/0093650220944790",primary,Automated data extraction,custom-built web scrapers based on the Selenium framework,authors,not applicable,,"To adhere to the open science principle, we share the data and software used in this study at: https://doi.org/10.17605/osf.io/uc359",https://doi.org/10.17605/osf.io/uc359
01425692.2020.pdf,10.1080/01425692.2020.1799754,"Dollmann, Jörg and Frida Rudolphi. ""Classroom composition and language skills: the role of school class and friend characteristics."" British Journal of Sociology of Education 41, no. 8 (2020): 1200-1217. doi:10.1080/01425692.2020.1799754",secondary,Measurements and tests,multiple-choice test,not applicable,Children of Immigrants Longitudinal Survey in Four European Countries (CILS4EU),,Supplemental data for this article is available online at https://doi.org/10.1080/01425692.2020.1799754.,
0143831x20944211.pdf,10.1177/0143831X20944211,"Mühlböck, Monika, Nadia Steiber, and Bernhard Kittel. ""Learning to keep the faith? Further education and perceived employability among young unemployed."" Economic and Industrial Democracy 43, no. 2 (2022): 705-725. doi:10.1177/0143831X20944211",primary,Self-administered questionnaire,questionnaires,authors,not applicable,,,
0146167218820921.pdf,10.1177/0146167218820921,"Sieber, Vanda, Lavinia Flückiger, Jutta Mata, Katharina Bernecker, and Veronika Job. ""Autonomous Goal Striving Promotes a Nonlimited Theory About Willpower."" Personality and Social Psychology Bulletin 45, no. 8 (2019): 1295-1307. doi:10.1177/0146167218820921",primary,Experiment,questionnaire,authors,not applicable,,Supplemental material is available online with this article.,
01461672211031080_.pdf,10.1177/01461672211031080,"Bruk, Anna, Sabine G. Scholl, and Herbert Bless. ""You and I Both: Self-Compassion Reduces Self–Other Differences in Evaluation of Showing Vulnerability."" Personality and Social Psychology Bulletin 48, no. 7 (2022): 1054–1067. https://doi.org/10.1177/01461672211031080",primary,Experiment,online questionnaire,authors,not applicable,,"The data that support the findings of all four non-preregistered studies, the analyses code, the bookbook, and the materials are openly available in OSF at https://osf.io/mvpsw/?view_only=06aa074594334f5aa3a7902d0e72c9cb.",https://osf.io/mvpsw/?view_only=06aa074594334f5aa3a7902d0e72c9cb
0190272520936633.pdf,10.1177/0190272520936633,"Leszczensky, Lars and Sebastian Pink. ""Are Birds of a Feather Praying Together? Assessing Friends’ Influence on Muslim Youths’ Religiosity in Germany."" Social Psychology Quarterly 83, no. 3 (2020): 251–271. doi:10.1177/0190272520936633",primary,Self-administered questionnaire,paper-and-pencil questionnaires,researchers,not applicable,,Supplemental material for this article is available online.,
0192513x19880934.pdf,10.1177/0192513X19880934,"Ehrlich, Ulrike, Katja Möhring, and Sonja Drobnič. ""What Comes after Caring? The Impact of Family Care on Women’s Employment."" Journal of Family Issues 41, no. 9 (2020): 1387–1419. doi:10.1177/0192513X19880934",secondary,unclear,unclear,not applicable,German Socio-Economic Panel (SOEP),,,
01_CCR2021.1_CHAN.pdf,10.5117/CCR2021.1.001.CHAN,"Chan, Chung-hong, Joseph Bajjalieh, Loretta Auvil, Hartmut Wessler, Scott Althaus, Kasper Welbers, Wouter van Atteveldt, and Marc Jungblut. 2021. ""Four best practices for measuring news sentiment using ‘off-the-shelf’ dictionaries: a large-scale p-hacking experiment."" Computational Communication Research 3 (1): 1–27. doi: 10.5117/CCR2021.1.001.CHAN.",mixed,Automated data extraction,ProQuest Historical Newspapers,authors,American Presidency Project,10.17605/OSF.IO/UTXS5,Source code and data are available at https://github.com/chainsawriot/ots/ Online appendix is available at https://doi.org/10.17605/OSF.IO/UTXS5,https://github.com/chainsawriot/ots/
02.pdf,,"Trips, Carola. ""How to account for the expressive nature of phrasal compounds in a conceptual-semantic framework."" (n.d.).",secondary,Automated data extraction,BNCweb via the Lancaster interface,not applicable,British National Corpus (BNC),,,
0263395720975970.pdf,10.1177/0263395720975970,"van der Brug, Wouter, Sebastian Adrian Popa, Sara B Hobolt, and Hermann Schmitt. ""Illiberal democratic attitudes and support for the EU."" Politics 41, no. 4 (2021): 537–561. doi:10.1177/0263395720975970.",secondary,Self-administered questionnaire,EES 2019,not applicable,EES 2019,,Additional supplementary information may be found with the online version of this article.,
02_Maja%2BLinthe_Tandemseminar_final.pdf,,"Maja Linthe. ""Das Tandemseminar „Der Widerstand gegen den Nationalsozialismus in der deutschen Wikipedia“: ein Lehrexperiment mit forschendem Lernen im Open-Science-Format."" Diskurse Digital, 2022.",primary,Self-administered writings and/or diaries,Blogposts,Maja Linthe,not applicable,,,
03057356211013396.pdf,10.1177/03057356211013396,"Lörch, Lucas. ""Chunking in tonal contexts: Information compression during serial recall of visually presented musical notes."" Psychology of Music 50, no. 3 (2022): 691-708. doi:10.1177/03057356211013396",primary,Experiment,Unipark,Lucas Lörch,not applicable,,"Supplemental material for this article is available online and comprises stimuli, datasets and analysis code.",
03080226221113505.pdf,10.1177/03080226221113505,"Meachon, Emily J, and Georg W Alpers. 2023. ""How are you getting by? Coping in developmental coordination disorder versus attention-deﬁcit/hyperactivity disorder."" British Journal of Occupational Therapy 86 (1): 42–52. doi:10.1177/03080226221113505",primary,Self-administered questionnaire,Brief COPE,Emily J Meachon,not applicable,,"Upon publication, data for the present study will be made available to the public for free download on the University of Mannheim MADATA server at the following link: https://madata.bib.uni-mannheim.de/id/eprint/399.",
0340-1650-2022-11-1.pdf,10.15358/0340-1650-2022-11-1,"Wambach, Achim. ""Klimaschutz lohnt sich."" Wirtschafts-wissenschaftliches Studium, no. 11 (November 2022): 1, doi:10.15358/0340-1650-2022-11-1.",no data,not applicable,not applicable,not applicable,not applicable,,,
07.11.20.pr0.109.5.380-388.pdf,10.2466/07.11.20.PR0.109.5.380-388,"Dickhäuser, Oliver, Marc-André Reinhard, and Chris Englert. ""HOW TASK EXPERIENCE INFLUENCES STUDENTS’ PERFORMANCE EXPECTANCIES: THE ROLE OF CERTAINTY"". Psychological Reports, 109, no. 2 (2011): 380-388. doi:10.2466/07.11.20.PR0.109.5.380-388",primary,Self-administered questionnaire,questionnaire,"Oliver Dickhäuser, Marc-André Reinhard, and Chris Englert",not applicable,,,
0734371x20932997.pdf,10.1177/0734371X20932997,"Sievert, Martin, Dominik Vogel, and Mary K. Feeney. ""Formalization and Administrative Burden as Obstacles to Employee Recruitment: Consequences for the Public Sector."" Review of Public Personnel Administration 2020, doi:10.1177/0734371X20932997.",primary,Experiment,online survey software,authors,not applicable,10.17605/OSF.IO/3B59H,The data and analysis code are available at https://doi.org/10.17605/OSF.IO/3B59H.,https://doi.org/10.17605/OSF.IO/3B59H
0738894219899006.pdf,10.1177/0738894219899006,"Carey, Sabine C, and Belén González. ""The legacy of war: The effect of militias on postwar repression."" Conflict Management and Peace Science 2020, 1-23. doi: 10.1177/0738894219899006.",secondary,Compilation/Synthesis,not applicable,not applicable,Pro-Government Militias Database (PGMD),,,
0890207020962304.pdf,10.1177/0890207020962304,"Francis, Zoè, Jutta Mata, Lavinia Flückiger, and Veronika Job. ""Morning resolutions, evening disillusions: Theories of willpower affect how health behaviours change across the day."" European Journal of Personality 35, no. 3 (2021): 398–415. doi:10.1177/0890207020962304",primary,Self-administered questionnaire,"Willpower Theory questionnaire, experience-sampling surveys",the authors,not applicable,,The data and materials are permanently and openly accessible at https://osf.io/vyxw7/.,https://osf.io/vyxw7/
0894439318816389.pdf,10.1177/0894439318816389,"Kreuter, Frauke, Georg-Christoph Haas, Florian Keusch, Sebastian Bähr, and Mark Trappmann. ""Collecting Survey and Smartphone Sensor Data With an App: Opportunities and Challenges Around Privacy and Informed Consent."" Social Science Computer Review 38, no. 5 (2020): 533-549. doi:10.1177/0894439318816389",primary,Automated data extraction,IAB-SMART app,"Frauke Kreuter, Georg-Christoph Haas, Florian Keusch, Sebastian Ba¨hr, and Mark Trappmann",not applicable,,"Data used in this article are available at the Institute for Employment Research (IAB). Up-to-date access information can be found here (https://www.iab.de/en/daten.aspx). For all analyses, author-originated code under Stata Version 14.2 was used. The code is available and archived at the Institute for Employment Research (IAB).",
0894439320902461.pdf,10.1177/0894439320902461,"Jan Karem Ho¨hne, Dagmar Krebs, and Steffen-M. Ku¨hnel. ""Measuring Income (In)equality: Comparing Survey Questions With Unipolar and Bipolar Scales in a Probability-Based Online Panel."" Social Science Computer Review, 2020. doi: 10.1177/0894439320902461.",primary,Experiment,online survey,German Internet Panel,not applicable,,The data used in this study will be available to the scientific community via the GESIS Data Archive for the Social Sciences.,
0894439320914261.pdf,10.1177/0894439320914261,"Wenz, Alexander, Annette Jäckle, Jonathan Burton, and Mick P. Couper. ""The Effects of Personalized Feedback on Participation and Reporting in Mobile App Data Collection."" Social Science Computer Review 40, no. 1 (2022): 165–178. doi:10.1177/0894439320914261",primary,Self-administered questionnaire,mobile app,Kantar Public UK,not applicable,,"The data will be made available from the UK Data Service (https://ukdataservice.ac.uk/) by October 1, 2020.",The code is available in the Online Appendix.
0894439320918318.pdf,10.1177/0894439320918318,"Kalleitner, Fabian, Monika Mühlböck, and Bernhard Kittel. ""What’s the Benefit of a Video? The Effect of Nonmaterial Incentives on Response Rate and Bias in Web Surveys."" Social Science Computer Review 40, no. 3 (2022): 700–716. doi:10.1177/0894439320918318",primary,Experiment,web questionnaire,authors,not applicable,10.7910/DVN/YDGVJ4,Replication data are available at Harvard Dataverse at https://doi.org/10.7910/DVN/YDGVJ4,The full code to reproduce any of the tables and figures in the article is available alongside the replication data at Harvard Dataverse at https://doi.org/10.7910/DVN/YDGVJ4
0894439320944118.pdf,10.1177/0894439320944118,"Sebastian Bähr, Georg-Christoph Haas, Florian Keusch, Frauke Kreuter, and Mark Trappmann. ""Missing Data and Other Measurement Quality Issues in Mobile Geolocation Sensor Data."" Social Science Computer Review, 2020. doi: 10.1177/0894439320944118.",primary,Automated data extraction,IAB-SMART app,Institute for Employment Research (IAB),not applicable,,Data used in this article are available at the Institute for Employment Research (IAB). Up-to-date access information can be found here: https://www.iab.de/en/daten.aspx.,The code is available at the Institute for Employment Research (IAB) and will be delivered together with data access (see Section Data Availability).
0894439320971233.pdf,10.1177/0894439320971233,"Kern, Christoph, Jan Karem Höhne, Stephan Schlosser, and Melanie Revilla. ""Completion Conditions and Response Behavior in Smartphone Surveys: A Prediction Approach Using Acceleration Data."" Social Science Computer Review 1-19, 2020. doi:10.1177/0894439320971233",primary,Experiment,SurveyMotion (SMotion),the authors,not applicable,,Data may be accessed on-site at the University of Mannheim by contacting the first author of this article (c. kern@uni-mannheim.de).,https://github.com/chkern/survey-motion
0894439320979951.pdf,10.1177/0894439320979951,"Struminskaya, Bella, Peter Lugtig, Florian Keusch, and Jan Karem Höhne. 2020. ""Augmenting Surveys With Data From Sensors and Apps: Opportunities and Challenges."" Social Science Computer Review 1-13. doi:10.1177/0894439320979951",no data,not applicable,not applicable,not applicable,not applicable,,,
0894439320984131.pdf,10.1177/0894439320984131,"Cornesse, Carina and Ines Schaurer. ""The Long-Term Impact of Different Offline Population Inclusion Strategies in Probability-Based Online Panels: Evidence From the German Internet Panel and the GESIS Panel."" Social Science Computer Review 1-18. doi: 10.1177/0894439320984131.",secondary,Self-administered questionnaire,online panel,not applicable,GIP and GESIS Panel,,"The GIP and GESIS Panel data are freely available from the GESIS Data Archive for the Social Sciences (GIP: see GESIS, 2020b; GESIS Panel: see GESIS, 2018). To harmonize the GIP and GESIS Panel data (e.g., regarding socio-demographic variables), we in part had to rely on unpublished GIP data. For ethical and data protection reasons, these data cannot be published as scientific use files (SUFs) because such publication would endanger the anonymity of the GIP respondents and nonrespondents. Instead, these data can be accessed at the onsite data access (ODA) facilities of the GIP secure data center (SDC) located at the Collaborative Research Center “Political Economy of Reforms’ (SFB 884), University of Mannheim, B6 30-32 Mannheim, Germany.",
08944393211006059_.pdf,10.1177/08944393211006059,"Cornesse, Carina, Barbara Felderer, Marina Fikel, Ulrich Krieger, and Annelies G. Blom. ""Recruiting a Probability-Based Online Panel via Postal Mail: Experimental Evidence."" Social Science Computer Review 40, no. 5 (2022): 1259–1284. doi:10.1177/08944393211006059",primary,Experiment,recruitment survey and registration survey,the authors,not applicable,,,
08944393211032950.pdf,10.1177/08944393211032950,"Fernández-Fontelo, Amanda, Pascal J. Kieslich, Felix Henninger, Frauke Kreuter, and Sonja Greven. ""Predicting Question Difficulty in Web Surveys: A Machine Learning Approach Based on Mouse Movement Features."" Social Science Computer Review 41, no. 1 (2023): 141–162. doi:10.1177/08944393211032950.",secondary,Experiment,mousetrap-web data collection framework,not applicable,"Horwitz, Brockhaus et al. (2017) and Horwitz et al. (2019)",,"Our data are available at the Institute for Employment Research: https://www.iab.de/en/daten.aspx

Supplementary Material
The supplementary materials and R codes are available at https://github.com/PascalKieslich/mtdifficulty",https://github.com/PascalKieslich/mtdifficulty
0899764019872005.pdf,10.1177/0899764019872005,"Englert, Benedikt, Julia Thaler, and Bernd Helmig. ""Fit Themes in Volunteering: How Do Volunteers Perceive Person–Environment Fit?"" Nonprofit and Voluntary Sector Quarterly 49, no. 2 (2020): 336–356. doi:10.1177/0899764019872005",primary,Interview,semistructured interviews,authors,not applicable,,Supplemental material for this article is available online.,
0942-5403_a000417-1.pdf,10.1026/0942-5403/a000417,"Altvater-Mackensen, Nicole. ""Sprachwahrnehmung im Säuglingsalter."" Kindheit und Entwicklung (2023) 32 (3): 131–141. doi:10.1026/0942-5403/a000417",no data,not applicable,not applicable,not applicable,not applicable,,,
0951629820956273.pdf,10.1177/0951629820956273,"König, Thomas and Xiao Lu. ""Should I stay or should I go? British voter you got to let me know! Prime Ministers, intra-party conflict, and membership referendums in the British Westminster model."" Journal of Theoretical Politics, 2020, pp. 1–25. doi: 10.1177/0951629820956273",no data,not applicable,not applicable,not applicable,not applicable,,,
