filename,url,madoc_identifier,title,creators,year,citation
%5B15548597%20-%20Peace%20Economics%2C%20Peace%20Science%20and%20Public%20Policy%5D%20Who%20are%20Our%20Experts%20Predictors%20of%20Participation%20in%20Expert%20Surveys.pdf,https://madoc.bib.uni-mannheim.de/56159/1/%5B15548597%20-%20Peace%20Economics%2C%20Peace%20Science%20and%20Public%20Policy%5D%20Who%20are%20Our%20Experts%20Predictors%20of%20Participation%20in%20Expert%20Surveys.pdf,https://madoc.bib.uni-mannheim.de/56159/,Who are our experts? Predictors of participation in expert surveys,"Steinert, Christoph Valentin; Ruggeri, Andrea",2020,"Steinert, Christoph Valentin; Ruggeri, Andrea (2020) “Who are our experts? Predictors of participation in expert surveys.” https://madoc.bib.uni-mannheim.de/56159/"
%5B19552629%20-%20Journal%20of%20Language%20Contact%5D%20Contact-Induced%20Changes%20in%20the%20Argument%20Structure%20of%20Middle%20English%20Verbs%20on%20the%20Model%20of%20Old%20French.pdf,https://madoc.bib.uni-mannheim.de/47085/1/%5B19552629%20-%20Journal%20of%20Language%20Contact%5D%20Contact-Induced%20Changes%20in%20the%20Argument%20Structure%20of%20Middle%20English%20Verbs%20on%20the%20Model%20of%20Old%20French.pdf,https://madoc.bib.uni-mannheim.de/47085/,Contact-induced changes in the argument structure of Middle English verbs on the model of Old French,"Trips, Carola; Stein, Achim",2019,"Trips, Carola; Stein, Achim (2019) “Contact-induced changes in the argument structure of Middle English verbs on the model of Old French.” https://madoc.bib.uni-mannheim.de/47085/"
%5B21949646%20-%20Bibliotheksdienst%5D%20Themen.%20%E2%80%9EAus%20der%20Praxis%20f%C3%BCr%20die%20Praxis%E2%80%9C%20%E2%80%93%20ein%20Glossar%20zu%20Begriffen%20der%20Informationskompetenz.pdf,https://madoc.bib.uni-mannheim.de/57498/1/%5B21949646%20-%20Bibliotheksdienst%5D%20Themen.%20%E2%80%9EAus%20der%20Praxis%20f%C3%BCr%20die%20Praxis%E2%80%9C%20%E2%80%93%20ein%20Glossar%20zu%20Begriffen%20der%20Informationskompetenz.pdf,https://madoc.bib.uni-mannheim.de/57498/,"""Aus der Praxis für die Praxis"" – ein Glossar zu Begriffen der Informationskompetenz","Klein, Annette; Mitschang, Jonas; Nilges, Annemarie; Oberhausen, Birgit; Rauber, Klaus; Weiß, Alexander",2008,"Klein, Annette; Mitschang, Jonas; Nilges, Annemarie; Oberhausen, Birgit; Rauber, Klaus; Weiß, Alexander (2008) “""Aus der Praxis für die Praxis"" – ein Glossar zu Begriffen der Informationskompetenz.” https://madoc.bib.uni-mannheim.de/57498/"
00027642211021646.pdf,https://madoc.bib.uni-mannheim.de/61380/1/00027642211021646.pdf,https://madoc.bib.uni-mannheim.de/61380/,Similar but different: Constructing equivalent protest measures in comparative research,"van Deth, Jan W.",2022,"van Deth, Jan W. (2022) “Similar but different: Constructing equivalent protest measures in comparative research.” https://madoc.bib.uni-mannheim.de/61380/"
000527503.pdf,https://madoc.bib.uni-mannheim.de/63570/1/000527503.pdf,https://madoc.bib.uni-mannheim.de/63570/,At crossroads in a virtual city: Effect of spatial disorientation on gait variability and psychophysiological response among healthy older adults,"Amaefule, Chimezie O.; Lüdtke, Stefan; Klostermann, Anne; Hinz, Charlotte A.; Kampa, Isabell; Kirste, Thomas; Teipel, Stefan",2023,"Amaefule, Chimezie O.; Lüdtke, Stefan; Klostermann, Anne; Hinz, Charlotte A.; Kampa, Isabell; Kirste, Thomas; Teipel, Stefan (2023) “At crossroads in a virtual city: Effect of spatial disorientation on gait variability and psychophysiological response among healthy older adults.” https://madoc.bib.uni-mannheim.de/63570/"
000549546.pdf,https://madoc.bib.uni-mannheim.de/71401/1/000549546.pdf,https://madoc.bib.uni-mannheim.de/71401/,"Language Model, bitte zum Diktat: Transkription, Sprecher*innenzuordnung und datenschutzkonforme Verarbeitung von Therapiegesprächen mit KI","Taubitz, Friedrich-Samuel; Sehn, Linus H. A.; Alpers, Georg W.",2025,"Taubitz, Friedrich-Samuel; Sehn, Linus H. A.; Alpers, Georg W. (2025) “Language Model, bitte zum Diktat: Transkription, Sprecher*innenzuordnung und datenschutzkonforme Verarbeitung von Therapiegesprächen mit KI.” https://madoc.bib.uni-mannheim.de/71401/"
000550820.pdf,https://madoc.bib.uni-mannheim.de/72099/1/000550820.pdf,https://madoc.bib.uni-mannheim.de/72099/,Blended cognitive behavioral therapy versus standard cognitive behavioral therapy for unipolar depression: A multicenter randomized controlled trial,"Kalde, Jan; Atik, Ece; Stricker, Johannes; Schückes, Magnus; Neudeck, Peter; Abel, Pamela; Hollank, Johanna; Pittig, Andre; Pietrowsky, Reinhard",2026,"Kalde, Jan; Atik, Ece; Stricker, Johannes; Schückes, Magnus; Neudeck, Peter; Abel, Pamela; Hollank, Johanna; Pittig, Andre; Pietrowsky, Reinhard (2026) “Blended cognitive behavioral therapy versus standard cognitive behavioral therapy for unipolar depression: A multicenter randomized controlled trial.” https://madoc.bib.uni-mannheim.de/72099/"
0012-1924_a000271.pdf,https://madoc.bib.uni-mannheim.de/60878/1/0012-1924_a000271.pdf,https://madoc.bib.uni-mannheim.de/60878/,"Entwicklung und Validierung der ""Mannheimer Skalen zur Erfassung von Handlungswissen, Reflexion und Berufsbezug (HAREBE)"" für situierte Lehrveranstaltungen an Hochschulen","Waag, Anne-Sophie; Fehringer, Benedict C. O. F.; Münzer, Stefan",2021,"Waag, Anne-Sophie; Fehringer, Benedict C. O. F.; Münzer, Stefan (2021) “Entwicklung und Validierung der ""Mannheimer Skalen zur Erfassung von Handlungswissen, Reflexion und Berufsbezug (HAREBE)"" für situierte Lehrveranstaltungen an Hochschulen.” https://madoc.bib.uni-mannheim.de/60878/"
0020715219899969.pdf,https://madoc.bib.uni-mannheim.de/53539/1/0020715219899969.pdf,https://madoc.bib.uni-mannheim.de/53539/,Health and political efficacy in context: What is the role of the welfare state?,"Shore, Jennifer; Rapp, Carolin; Stockemer, Daniel",2019,"Shore, Jennifer; Rapp, Carolin; Stockemer, Daniel (2019) “Health and political efficacy in context: What is the role of the welfare state?.” https://madoc.bib.uni-mannheim.de/53539/"
00220027221104719.pdf,https://madoc.bib.uni-mannheim.de/62510/1/00220027221104719.pdf,https://madoc.bib.uni-mannheim.de/62510/,Divergent perceptions of peace in post-conflict societies: Insights from Sri Lanka,"Carey, Sabine C.; González, Belén; Gläßel, Christian",2022,"Carey, Sabine C.; González, Belén; Gläßel, Christian (2022) “Divergent perceptions of peace in post-conflict societies: Insights from Sri Lanka.” https://madoc.bib.uni-mannheim.de/62510/"
