source;month;t;dataset;intersection;total;intersection_perc
GESIS;FEB_2026;0;529;9;1079;0.8
Harvard Dataverse;FEB_2026;0;229;9;1079;0.8
MADATA;FEB_2026;0;195;9;1079;0.8
Zenodo;FEB_2026;0;126;9;1079;0.8
GESIS;MAR_2026;1;538;76;1164;6.5
Harvard Dataverse;MAR_2026;1;233;76;1164;6.5
MADATA;MAR_2026;1;266;76;1164;6.5
Zenodo;MAR_2026;1;127;76;1164;6.5
GESIS;APR_2026;2;539;278;1405;19.8
Harvard Dataverse;APR_2026;2;237;278;1405;19.8
MADATA;APR_2026;2;497;278;1405;19.8
Zenodo;APR_2026;2;132;278;1405;19.8
GESIS;MAY_2026;3;539;421;1573;26.8
Harvard Dataverse;MAY_2026;3;238;421;1573;26.8
MADATA;MAY_2026;3;656;421;1573;26.8
Zenodo;MAY_2026;3;140;421;1573;26.8
GESIS;JUN_2026;4;539;493;1656;29.8
Harvard Dataverse;JUN_2026;4;239;493;1656;29.8
MADATA;JUN_2026;4;737;493;1656;29.8
Zenodo;JUN_2026;4;141;493;1656;29.8
GESIS;JUL_2026;5;539;577;1765;32.7
Harvard Dataverse;JUL_2026;5;240;577;1765;32.7
MADATA;JUL_2026;5;840;577;1765;32.7
Zenodo;JUL_2026;5;146;577;1765;32.7
GESIS;AUG_2026;6;542;601;1794;33.5
Harvard Dataverse;AUG_2026;6;241;601;1794;33.5
MADATA;AUG_2026;6;865;601;1794;33.5
Zenodo;AUG_2026;6;146;601;1794;33.5
