DOI,Title,Publication Date,Description,Creators,type,License,URL
10.5281/zenodo.11396622,Instruks Dataset - A dataset of Clinical Guidelines in Denmark,2024-05-30,"Dataset of Clinical Guidelines used by Danish municipalities, collected in 2023 under permission of Region Syddanmark, Midtjylland, Nordjylland, Sj&aelig;lland and Hovedstaden. &nbsp; The zip file ClinicalGuidelines.raw contains the following folders: <ul> <li> HTML_RegionHovedstaden: Clinical Guidelines used in the capital region (Hovedstaden) </li> <li> HTML_RegionMidt: Clinical Guidelines used in the region of Midtjylland, </li> <li> HTML_RegionNord: Clinical Guidelines used in the region of Nordjylland </li> <li> HTML_RegionSj&aelig;lland: Clinical Guidelines used in the region of Sj&aelig;lland, </li> <li> HTML_RegionSyd: Clinical Guidelines used in the Syddanmark region. The dataset has been collected with the consent of each of the areas. The dataset contains HTML files (that have been sanitized in follow-up versions of the datasets). &nbsp; </li> </ul> The dataset is the accompanying material for the paper ""Automating Pathway Extraction from Clinical Guidelines: A Conceptual Model, Datasets and Initial Experiments"" by Daniel Grathwol, Han van der Aa, and Hugo A. L&oacute;pez. To appear in the 30th International Conference on Cooperative Information Systems.&nbsp;","Daniel, Grathwol, van der Aa, Han, López, Hugo-Andrés",dataset,cc-by-nc-4.0,https://zenodo.org/records/11396622
10.5281/zenodo.11234583,RUEG Corpus,2024-04-30,"The Research Unit Emerging Grammars (RUEG) investigates the linguistic systems and linguistic resources of bilingual speakers from families with an immigrant history, &ldquo;heritage speakers&rdquo;, in both of their languages across different language pairs, registers, and age groups. We investigate speakers of Russian, Turkish, and Greek as heritage languages in Germany and the U.S., in addition to German as a heritage language in the U.S., as well as monolingual controls for majority and heritage languages. We study noncanonical phenomena as indicators of new grammatical options in bilingual systems. All projects contribute to<br>three &ldquo;Joint Ventures&rdquo; targeting (1) the development of new dialects vs. incomplete acquisition or erosion (&ldquo;Language Change Hypothesis&rdquo;), (2) the relevance of internal vs. external grammatical interfaces (&ldquo;Interface Hypothesis&rdquo;), and (3) the distinction of contact-induced change vs. language-internal developments and variation (&ldquo;Internal Dynamics Hypothesis&rdquo;). As a result of our collaborative research, we expect new insights into the special dynamics of language variation, language change and linguistic repertoires in contact situations and the modelling of noncanonical structures in the grammatical system, and new impulses for the investigation of heritage speakers and of speakers&rsquo; resources. The projects are supported by two Mercator Fellows: <a href=""http://www.sociolinguistics.uottawa.ca/shanapoplack/"">Shana Poplack, University of Ottawa</a> <a href=""http://ling.umd.edu/people/person/maria-polinsky/"">Maria Polinsky, University of Maryland</a> <a href=""https://www.reading.ac.uk/elal/staff/professor-jeanine-treffers-daller"" target=""_blank"" rel=""noopener"">Jeanine Treffers-Daller, University of Reading</a> <a href=""http://cehum.ilch.uminho.pt/researchers/2"">Cristina Flores, Universidade do Minho</a> The Research Unit is funded by the Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) &ndash; Project numbers: 39482131 &amp; 313607803. You can search this data online in ANNIS: <a href=""https://korpling.german.hu-berlin.de/annis/"">https://korpling.german.hu-berlin.de/annis/</a>","Lüdeling, Anke, Alexiadou, Artemis, Allen, Shanley, Bunk, Oliver, Gagarina, Natalia, Grigoriadou, Sofia, Hartz, Rahel Gajaneh, Iefremenko, Kateryna, Jahns, Esther, Katsika, Kalliopi, Keller, Mareike, Klotz, Martin, Krause, Thomas, Labrenz, Annika, Martynova, Maria, Özsoy, Onur, Pashkova, Tatiana, Pohle, Maria, Purkarthofer, Judith, Rizou, Vicky, Schroeder, Christoph, Shadrova, Anna, Szucsich, Luka, Tracy, Rosemarie, Tsehaye, Wintai, Wiese, Heike, Zerbian, Sabine, Zuban, Yulia, Zürn, Nadine",dataset,cc-zero,https://zenodo.org/records/11234583
10.5281/zenodo.10144428,UB-Mannheim/reichsanzeiger-gt: 1.0.0,2023-11-15,<h2>What's Changed</h2> <ul> <li>replace double whitespaces by single one by @shigapov in https://github.com/UB-Mannheim/reichsanzeiger-gt/pull/2</li> </ul> <h2>New Contributors</h2> <ul> <li>@shigapov made their first contribution in https://github.com/UB-Mannheim/reichsanzeiger-gt/pull/2</li> </ul> <strong>Full Changelog</strong>: https://github.com/UB-Mannheim/reichsanzeiger-gt/commits/1.0.0,"Schmidt, Thomas, Kamlah, Jan, Weil, Stefan, Shigapov, Renat",dataset,cc-by-4.0,https://zenodo.org/records/10144428
10.5281/zenodo.3946462,TaxGraph - A Knowledge Graph of Multi-National Companies and their Relationships,2020-07-15,"The taxation of multi-national companies is a complex field, since it is influenced by the legislation of several states. Laws in different states may have unforeseen interaction effects, which can be exploited by allowing multi-national companies to minimize and avoid taxes.  Thus, we created a knowledge graph of multi-national companies and their relationships. Many commonly known tax avoidance strategies can be formulated as subgraph queries to this graph, which allows for identifying companies using certain strategies. Moreover, we can identify anomalies in the graph which hint at potential tax avoidance strategies.","Lüdemann, Niklas, Shiba, Ageda, Thymianis, Nikolaos, Heist, Nicolas, Ludwig, Christopher, Paulheim, Heiko",dataset,cc-by-4.0,https://zenodo.org/records/3946462
10.5281/zenodo.8422037,SOTAB V2 for SemTab 2023,2023-10-09,"SOTAB V2 for SemTab 2023 includes datasets used to evaluate <a href=""https://paperswithcode.com/task/column-type-annotation"">Column Type Annotation </a>(CTA)&nbsp;and <a href=""https://paperswithcode.com/task/columns-property-annotation"">Columns Property Annotation</a> (CPA)&nbsp;systems in the 2023 edition of the <a href=""https://www.cs.ox.ac.uk/isg/challenges/sem-tab/"">SemTab challenge</a>. The datasets for both rounds of the challenge were down-sampled from the full train, test and validation splits of the&nbsp;<a href=""http://webdatacommons.org/structureddata/sotab/v2/"">SOTAB V2</a> (WDC Schema.org Table Annotation Benchmark version 2) benchmark, so that the datasets of the first round have a smaller vocabulary&nbsp;of 40 and 50 labels for CTA and CPA respectively corresponding to easier/more general domains, and the datasets of the second round include the full vocabulary size of 80 and 105 labels and are therefore considered to be harder to annotate. The columns and the relationships between columns are annotated using the Schema.org and DBpedia vocabulary.  SOTAB V2 for SemTab 2023&nbsp;contains the splits used in Round 1 and Round 2 of the challenge. Each round includes a training, validation and test split together with the ground truth for the test splits and the vocabulary list. The ground truth of the test sets of both rounds are manually verified.  Files contained in&nbsp;SOTAB V2 for SemTab 2023:  <ol> 	<li>Round1-SOTAB-CPA-DatasetsAndGroundTruth = This file contains the csv files of the first round of the challenge for the task of CPA for&nbsp;training, validation and test set,&nbsp; as well as label set and ground truth in the &quot;gt&quot; folder. The columns in these files are annotated with Schema.org.</li> 	<li>Round1-SOTAB-CTA-DatasetsAndGroundTruth = This file contains the csv files of the first round of the challenge for the task of CTA for&nbsp;training, validation and test set,&nbsp; as well as label set and ground truth in the &quot;gt&quot; folder. The columns in these files are annotated with Schema.org.</li> 	<li>Round2-SOTAB-CPA-SCH-DatasetsAndGroundTruth = This file contains the csv files of the second round of the challenge for the task of CPA for&nbsp;training, validation and test set,&nbsp; as well as label set and ground truth in the &quot;gt&quot; folder. The columns in these files are annotated with Schema.org.</li> 	<li>Round2-SOTAB-CTA-SCH-DatasetsAndGroundTruth = This file contains the csv files of the second round of the challenge for the task of CTA for&nbsp;training, validation and test set,&nbsp; as well as label set and ground truth in the &quot;gt&quot; folder. The columns in these files are annotated with Schema.org.</li> 	<li>Round2-SOTAB-CPA-DBP-DatasetsAndGroundTruth = This file contains the csv files of the second round of the challenge for the task of CPA for&nbsp;training, validation and test set,&nbsp; as well as label set and ground truth in the &quot;gt&quot; folder. The columns in these files are annotated with DBpedia.</li> 	<li>Round2-SOTAB-CTA-DBP-DatasetsAndGroundTruth = This file contains the csv files of the second round of the challenge for the task of CTA for&nbsp;training, validation and test set,&nbsp; as well as label set and ground truth in the &quot;gt&quot; folder. The columns in these files are annotated with DBpedia.</li> </ol>  All the corresponding tables can be found in the &quot;Tables&quot; zip folders.  &nbsp;  Note on License: This data includes data from the following sources. Refer to each source for license details:  - CommonCrawl&nbsp;<a href=""https://commoncrawl.org/"">https://commoncrawl.org/</a>  THIS DATA IS PROVIDED &quot;AS IS&quot;, WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM, OUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN THE SOFTWARE.","Korini, Keti, Peeters, Ralph, Bizer, Christian",dataset,cc-by-4.0,https://zenodo.org/records/8422037
10.5281/zenodo.15516432,"Digital game-based Learning in den Bereichen Wirtschaft, Finanzen und Nachhaltigkeit",2025-05-26,"In der neunten Veranstaltung der Ringvorlesung &bdquo;Around the W&Ouml;RLD&ldquo; im Rahmen des vom BMBF gef&ouml;rderten Projekts &bdquo;W&Ouml;RLD &ndash; Wirtschaftsp&auml;dagogik und &Ouml;konomische Bildung: Lehrkr&auml;ftebildung und Unterricht digital&ldquo; gibt Jasmin Vanessa Engelhardt von der Universit&auml;t Mannheim Einblick in den unterrichtlichen Einsatz von Serious Games in den Bereichen Wirtschaft, Finanzen und Nachhaltigkeit sowie in ein entwickeltes Schema zur Evaluation von Serious Games. Im Anschluss erhielten die Teilnehmenden die Gelegenheit, dieses Evaluationsschema an konkreten Games der drei Bereiche auszuprobieren und dar&uuml;ber in den Austausch zu kommen. Weitere Informationen finden Sie unter: https://www.uni-mannheim.de/mife/forschung/dgbl-wifina-digital-game-based-learning/","Aprea, Carmela, Suna, Merve, Engelhardt, Jasmin Vanessa",video,cc-by-sa-4.0,https://zenodo.org/records/15516432
10.5281/zenodo.1320810,RDF2Vec DBpedia inverse Page Rank frequency embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a inverse Page Rank frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320810
10.5281/zenodo.1320148,KGloVe DBpedia uniform embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a uniformly weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320148
10.5281/zenodo.1320081,RDF2Vec DBpedia predicate frequency embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a predicate frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320081
10.5281/zenodo.1320154,KGloVe DBpedia predicate object frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a predicate object frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320154
