Title,DOI,URL,Description,Published At,Source,Authors,License
Replication Data for: Conceptions of National Identity and Ambivalence towards Immigration ,doi:10.7910/DVN/A48JP7,https://doi.org/10.7910/DVN/A48JP7,"National identities are often conceived of as factors that lend structure and stability to citizens’ political opinions on issues such as immigration: While citizens who define national membership in ethno-cultural terms are less likely to support immigration, those with a civic conception are more likely to do so. We propose that defining national identity along both ethno-cultural and civic lines may give rise to conflicting considerations leading people to experience ambivalence, implying that national identities may serve less as a stabilising force than suggested by previous research. Findings from heterogeneous choice models and a unique survey experiment show that German citizens with mixed conceptions of national identity had more variable and more malleable opinions than individuals with ideal-type conceptions during the 2015/2016 European refugee crisis. Our findings point to an identity-based source of ambivalence and extend our knowledge of how people form attitudes towards immigration.",2019-03-04T10:53:38Z,Harvard Dataverse,"Lindstam, Emmy; Mader, Matthias ; Schoen, Harald",http://creativecommons.org/publicdomain/zero/1.0
Replication data for: The strategic nature of compliance: An empirical evaluation of law implementation in the central monitoring system of the EU,doi:10.7910/DVN/FREK34,https://doi.org/10.7910/DVN/FREK34,"This compliance study models correct and timely implementation of policies in a multi-level system as a strategic game between a central monitoring agency and multiple implementers, and evaluates statistically the empirical implications of this model. We test whether compliance is determined by the anticipated enforcement decision of the monitoring agency, and whether this agency is responsive to the probability of enforcement success and the potential sanctioning costs produced by non-complying implementers. Compared to other monitoring systems, the centralized monitoring system of the EU is praised for exemplary effectiveness. Our findings, however, reveal that the monitoring agency refrains from enforcing compliance when the probability of success is low and the sanctioning costs are high. Our strategic model indicates a compliance deficit, even though the selective enforcement activities of the monitoring agency are almost always successful before court.",2015-03-31T00:00:00Z,Harvard Dataverse,"König, Thomas; Mäder, Lars",http://creativecommons.org/publicdomain/zero/1.0
"Pre-Analysis Plan for a Survey Experiment on Committees, Voting Rules and Voters' Beliefs",doi:10.7910/DVN/1DMAAJ,https://doi.org/10.7910/DVN/1DMAAJ,"Many institutional environments share two common features: Decisions are made by a group of representatives (a committee) and decision-making takes place by secret ballot. Yet, even a secret ballot does not guarantee complete anonymity. As long as the observer has information about the committee’s joined decision and the employed voting rule, some information about representatives’ vote choices is leaked. Probability theory and Bayes’ Theorem in particular suggest that the amount of learning that is possible is a function of the voting rule, the size of the committee and the observer’s prior belief about representatives’ vote choices. Using a survey experiment we evaluate if voters are Bayesian learners and update prior beliefs about representatives' behavior in a committee using knowledge about the committee's joined decision. The experiment is implemented in the German Internet Panel wave 24 (July 2016).",2016-07-12T18:19:52Z,Harvard Dataverse,"Marbach, Moritz; Swalve, Tilko",http://creativecommons.org/publicdomain/zero/1.0
"Reproduction file for: On the Relationship Between Strategic Cultures and Support for European Defence: A Comment on Irondelle, Mérand and Foucault",doi:10.7910/DVN/6JCLFU,https://doi.org/10.7910/DVN/6JCLFU,"Code to reproduce all findings reported in the paper. Data are publicly available for download; see instructions in ""Endres_et_al_2015_A_Comment_on_IMF_reproduction_file.pdf"".",2018-01-03T11:54:37Z,Harvard Dataverse,"Mader, Matthias",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: The Wisdom of Crowds Design for Sensitive Survey Questions,doi:10.7910/DVN/KHIMOS,https://doi.org/10.7910/DVN/KHIMOS,"Survey research on sensitive questions is challenging because respondents often answer untruthfully or completely refuse to answer. Existing indirect questioning techniques address the problem of social desirability bias at the expense of decreasing estimates' efficiency. We suggest the Wisdom of Crowds survey design that does not pose a tradeoff between anonymity and efficiency as an alternative. We outline the conditions necessary for the technique to work and test them empirically. Moreover, we compare the Wisdom of Crowd estimate of a right-wing populist party's vote share to alternative indirect questioning techniques' estimates as well as to the official election result in the 2017 German federal election. Provided its conditions are met, the Wisdom of Crowds design performs best in terms of both bias and efficiency. We conclude that the Wisdom of Crowds design is an important addition to social scientists' survey methodology toolbox.",2020-03-30T13:43:48Z,Harvard Dataverse,"Lehrer, Roni; Juhl, Sebastian; Gschwend, Thomas",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: The Sensitivity of Spatial Regression Models to Network Misspecification,doi:10.7910/DVN/NAJIKB,https://doi.org/10.7910/DVN/NAJIKB,"Spatial econometric models become increasingly popular in various subfields of political science. However, the necessity to specify the underlying network of dependencies, denoted W, prior to estimation is a prevalent source of criticism since the true dependence structure is rarely known and theories mostly provide insufficient guidance. The present study investigates the effects of this network uncertainty which is a special case of model uncertainty that arises from uncertainty about the correct specification of W. It advocates Bayesian model averaging (BMA) as a superior approach to this problem, located at the intersection of theory and empirics. Conducting Monte Carlo experiments, I demonstrate that, while the effect estimates are robust towards a misspecification in the functional form of W, uncertainty in the neighborhood definition can bias the effect estimates derived from spatial autoregressive models. In contrast to alternative techniques, BMA directly addresses network uncertainty, correctly identifies the true network structure in the set of feasible alternatives, and provides unbiased effect estimates. Two replication studies from different subfields of the discipline illustrate the benefits of this approach for applied research.",2019-01-13T18:15:07Z,Harvard Dataverse,"Juhl, Sebastian",http://creativecommons.org/publicdomain/zero/1.0
Impacts of increasing community resilience through humanitarian aid in Pakistan,doi:10.7910/DVN/JTKSRW,https://doi.org/10.7910/DVN/JTKSRW,"Stata do files and ready-for-analysis data used in the analysis published in the Final Report to 3ie on the project, ""Impacts of increasing community resilience through humanitarian aid in Pakistan "" (project code TW 6.1028). This project was funded as part of the Humanitarian Assistance Thematic Window.",2019-11-08T11:03:38Z,Harvard Dataverse,"Avdeenko, Alexandra; Frölich, Markus",N/A
Replication Data for: Measurement Uncertainty in Spatial Models: A Bayesian Dynamic Measurement Model,doi:10.7910/DVN/ICTG9Z,https://doi.org/10.7910/DVN/ICTG9Z,"According to spatial models of political competition, parties strategically adjust their ideological positions to movements made by rival parties. Spatial econometric models have been proposed to empirically model such interdependencies and to closely convert theoretical expectations into statistical models. Yet, these models often ignore that the parties' ideological positions are latent variables and, as such, accompanied by a quantifiable amount of uncertainty. As a result, the implausible assumption of perfectly measured covariates impedes a proper evaluation of theoretical propositions. In order to bridge this gap between theory and empirics, the present work combines a spatial econometric model and a Bayesian dynamic item response model. The proposed model accurately accounts for measurement uncertainty and simultaneously estimates the parties' ideological positions and their spatial interdependencies. To verify the model's utility, I apply it to recorded votes from the sixteen German state legislatures in the period from 1988 to 2016. While exhibiting a notable degree of ideological mobility, the results indicate only moderate spatial dependencies among parties of the same party family. More importantly, the analysis illustrates how measurement uncertainty can lead to substantively different results which stresses the importance of appropriately incorporating theoretical expectations into statistical models.",2018-06-06T14:48:16Z,Harvard Dataverse,"Juhl, Sebastian",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Everyday Discrimination in Public Spaces: A Field Experiment in the Milan Metro,doi:10.7910/DVN/6VYA0U,https://doi.org/10.7910/DVN/6VYA0U,"This is the data and do file to create all the figures and tables reported in the manuscript ""Everyday Discrimination in Public Spaces: A Field Experiment in the Milan Metro"" published by the European Sociological Review 2022.",2022-02-01T09:21:04Z,Harvard Dataverse,"Gereke, Johanna",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Multidimensional spatial voting with non-separable preferences,doi:10.7910/DVN/VCSRMX,https://doi.org/10.7910/DVN/VCSRMX,"Replication data and R scripts for ""Multidimensional spatial voting with non-separable preferences""",2015-05-07T16:32:13Z,Harvard Dataverse,"Stoetzer, Lukas; Steffen Zittlau",http://creativecommons.org/publicdomain/zero/1.0
